formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Add(Max(Mean(Var($amount, 12), 5), 30), Greater(Var($amount, 30), EMA(Var($amount, 30), 64)))",0.1665478012452875,-0.0050638939222279605,-1,0.0050638939222279605,0.1665478012452875,0.1665478012452875,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,1,fixed,696,0,40,0.9877403205772725
"Sub(Greater(Var($amount, 30), Max(Mean(Var($amount, 12), 5), 30)), Sub(WMA($low, 30), Std(Var($amount, 30), 64)))",0.16592184801582724,-0.005131135060353788,-1,0.005131135060353788,0.16592184801582724,0.16592184801582724,False,False,True,,0.9816295541252289,780.0,1.0,gplearn_asb,strict_penalty,1,fixed,696,0,40,0.9877403205772725
"EMA(Sub(Greater(Var($amount, 30), EMA(Var($amount, 30), 12)), Sub(WMA($low, 30), IdxMax(Skew($volume, 30), 64))), 5)",0.1632792219108591,-0.005513284036297723,-1,0.005513284036297723,0.1632792219108591,0.1632792219108591,False,False,True,,0.9999994858083092,800.0,1.0,gplearn_asb,strict_penalty,1,fixed,696,0,40,0.9877403205772725
"Sub(Greater(Var($amount, 12), Max(Mean(Var($amount, 12), 5), 30)), Sub(WMA($low, 30), WMA(Var($amount, 30), 5)))",0.1632175334053013,-0.005069468496852485,-1,0.005069468496852485,0.1632175334053013,0.1632175334053013,False,False,True,,0.9731495854203467,769.0,1.0,gplearn_asb,strict_penalty,1,fixed,696,0,40,0.9877403205772725
"Sub(Greater(Var($amount, 30), EMA(Var($amount, 30), 64)), Sub(WMA($low, 30), WMA(Var($amount, 30), 5)))",0.16210998933144444,-0.005566246104303636,-1,0.005566246104303636,0.16210998933144444,0.16210998933144444,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,1,fixed,696,0,40,0.9877403205772725
"Max(EMA(Var($amount, 12), 12), 30)",0.16030675001855924,-0.004966840850281802,-1,0.004966840850281802,0.16030675001855924,0.16030675001855924,False,False,True,,1.0,800.0,1.0,gplearn_asb,strict_penalty,1,fixed,696,0,40,0.9877403205772725
"Add(Max(Mean(EMA(Var($amount, 12), 12), 5), 30), Var($amount, 30))",0.15954578446264325,-0.005142375329056565,-1,0.005142375329056565,0.15954578446264325,0.15954578446264325,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,1,fixed,696,0,40,0.9877403205772725
"Sub(Greater(Var($amount, 30), Max(Mean(Mean(Var($amount, 12), 5), 5), 30)), Sub(WMA($low, 30), IdxMax(Skew($volume, 30), 64)))",0.1595413879085849,-0.004711571816060385,-1,0.004711571816060385,0.1595413879085849,0.1595413879085849,False,False,True,,0.9816254405917035,780.0,1.0,gplearn_asb,strict_penalty,1,fixed,696,0,40,0.9877403205772725
"Sub(Greater(Max(Var($amount, 12), 30), EMA(Var($amount, 30), 64)), Sub(WMA($low, 30), IdxMax(Skew($volume, 30), 64)))",0.15927619851881267,-0.0054996277182898365,-1,0.0054996277182898365,0.15927619851881267,0.15927619851881267,False,False,True,,0.982043478436212,781.0,1.0,gplearn_asb,strict_penalty,1,fixed,696,0,40,0.9877403205772725
"Sub(Greater(Var($amount, 30), EMA(Var($amount, 30), 30)), Sub(WMA($low, 30), Std($amount, 30)))",0.15796700262012361,-0.005459492127332554,-1,0.005459492127332554,0.15796700262012361,0.15796700262012361,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,1,fixed,696,0,40,0.9877403205772725
