formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed
"Greater(Log(Mad($amount, 64)), Std(Abs(Add(Mad($amount, 5), Div($vwap, $high))), 30))",0.15016259924689296,-0.011271378010533137,-1,0.011271378010533137,0.15016259924689296,0.15016259924689296,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,42
"Add(Std(Abs(Greater($factor, $amount)), 30), $factor)",0.1449621414894162,-0.012356197218893066,-1,0.012356197218893066,0.1449621414894162,0.1449621414894162,False,False,True,,0.9815669033964881,780.0,1.0,gplearn_asb,strict_penalty,42
"Greater(Min(IdxMax(Skew($change, 64), 12), 30), Std(Abs(Greater($factor, $amount)), 30))",0.14496153486809105,-0.012387515661201188,-1,0.012387515661201188,0.14496153486809105,0.14496153486809105,False,False,True,,0.9816454940676393,780.0,1.0,gplearn_asb,strict_penalty,42
"Greater(Std(Abs(Greater($factor, $amount)), 30), Std(IdxMin(WMA(Power(3, $change), 5), 12), 30))",0.14495239643412489,-0.012369200577784012,-1,0.012369200577784012,0.14495239643412489,0.14495239643412489,False,False,True,,0.9817293073132172,780.0,1.0,gplearn_asb,strict_penalty,42
"Std(Greater($factor, $amount), 30)",0.14492515700603809,-0.01235619100056126,-1,0.01235619100056126,0.14492515700603809,0.14492515700603809,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,42
"Greater(IdxMin(WMA(Greater(IdxMin(WMA(Log(Log(Max($amount, 30))), 5), 12), Std(Abs(Greater($factor, $amount)), 30)), 5), 12), Std(Greater($factor, $amount), 30))",0.14492515700603809,-0.01235619100056126,-1,0.01235619100056126,0.14492515700603809,0.14492515700603809,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,42
"Greater(IdxMin(WMA(Power(3, $change), 5), 12), Std(Abs(Greater($factor, $amount)), 30))",0.14492515700603809,-0.01235619100056126,-1,0.01235619100056126,0.14492515700603809,0.14492515700603809,False,False,True,,0.9761549551947476,773.0,1.0,gplearn_asb,strict_penalty,42
"Log(Std(Abs(Greater($factor, $amount)), 30))",0.14492515700603809,-0.017192007540486644,-1,0.017192007540486644,0.14492515700603809,0.14492515700603809,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,42
"Greater(Std(Abs(Greater($factor, $amount)), 30), Std(Abs(Greater($factor, $amount)), 30))",0.14492515700603809,-0.01235619100056126,-1,0.01235619100056126,0.14492515700603809,0.14492515700603809,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,42
"Greater(IdxMin(WMA(Max($amount, 30), 5), 12), Std(Abs(Greater($factor, $amount)), 30))",0.14492515700603809,-0.01235619100056126,-1,0.01235619100056126,0.14492515700603809,0.14492515700603809,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,42
