formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Greater(Log(Mad($amount, 64)), Std(Abs(Add(Mad($amount, 5), Div($vwap, $high))), 30))",0.15016259924689296,-0.011271378010533137,-1,0.011271378010533137,0.15016259924689296,0.15016259924689296,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,42,fixed,587,0,40,0.9999251558079516
"Std(Abs(Add(Mad($amount, 5), IdxMin(IdxMin(WMA(Power(3, $change), 5), 12), 12))), 30)",0.14941623004847154,-0.011463791746322106,-1,0.011463791746322106,0.14941623004847154,0.14941623004847154,False,False,True,,0.9831520757212799,782.0,1.0,gplearn_asb,strict_penalty,42,fixed,587,0,40,0.9999251558079516
"Std(Mad($amount, 5), 30)",0.14926222904426428,-0.011461376653483006,-1,0.011461376653483006,0.14926222904426428,0.14926222904426428,False,False,True,,0.9831525899129706,782.0,1.0,gplearn_asb,strict_penalty,42,fixed,587,0,40,0.9999251558079516
"Abs(Greater(IdxMin(WMA(Power($amount, $change), 5), 12), Std(Mad($amount, 5), 30)))",0.14926222904426428,-0.011461376235785031,-1,0.011461376235785031,0.14926222904426428,0.14926222904426428,False,False,True,,0.9761837499294246,773.0,1.0,gplearn_asb,strict_penalty,42,fixed,587,0,40,0.9999251558079516
"Log(Greater(IdxMin(WMA(Power($amount, $change), 5), 12), Std(Mad($amount, 5), 30)))",0.14926222904426428,-0.016902520258285175,-1,0.016902520258285175,0.14926222904426428,0.14926222904426428,False,False,True,,0.9761837499294246,773.0,1.0,gplearn_asb,strict_penalty,42,fixed,587,0,40,0.9999251558079516
"Greater(IdxMin(WMA(Max($amount, 30), 5), 12), Std(Abs(WMA(Mul($low, $volume), 5)), 30))",0.1462060096442208,-0.01178246458302509,-1,0.01178246458302509,0.1462060096442208,0.1462060096442208,False,False,True,,0.9831525899129706,782.0,1.0,gplearn_asb,strict_penalty,42,fixed,587,0,40,0.9999251558079516
"Std(Abs(Add(Mad($amount, 5), Greater($factor, $amount))), 30)",0.14513201470994072,-0.012052165644675223,-1,0.012052165644675223,0.14513201470994072,0.14513201470994072,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,42,fixed,587,0,40,0.9999251558079516
"Add(Std(Abs(Abs(Greater($factor, $amount))), 30), $factor)",0.1449621414894162,-0.012356197218893066,-1,0.012356197218893066,0.1449621414894162,0.1449621414894162,False,False,True,,0.9815669033964881,780.0,1.0,gplearn_asb,strict_penalty,42,fixed,587,0,40,0.9999251558079516
"Greater(Power($amount, $change), Std(Abs(Greater($factor, $amount)), 30))",0.14492515700603809,-0.012356190998259835,-1,0.012356190998259835,0.14492515700603809,0.14492515700603809,False,False,True,,0.9592250022180817,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,587,0,40,0.9999251558079516
"Log(Greater(IdxMin(WMA(Power($amount, $change), 5), 12), Std(Abs(Abs(Greater($factor, $amount))), 30)))",0.14492515700603809,-0.017192007540486647,-1,0.017192007540486647,0.14492515700603809,0.14492515700603809,False,False,True,,0.9761549551947476,773.0,1.0,gplearn_asb,strict_penalty,42,fixed,587,0,40,0.9999251558079516
