formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed
"Rsquare(Std(Var($factor, 6), 30), 5)",0.07482546331075234,0.07482546331075234,1,0.07482546331075234,0.07482546331075234,0.07482546331075234,False,False,True,,0.010353209362724936,3.0,0.7782805429864253,gplearn_asb,hard_penalty,42
"Rsquare(Std(Var($factor, 6), 30), 5)",0.07482546331075234,0.07482546331075234,1,0.07482546331075234,0.07482546331075234,0.07482546331075234,False,False,True,,0.010353209362724936,3.0,0.7782805429864253,gplearn_asb,hard_penalty,42
"Rsquare(Std(Var($factor, 6), 30), 5)",0.07482546331075234,0.07482546331075234,1,0.07482546331075234,0.07482546331075234,0.07482546331075234,False,False,True,,0.010353209362724936,3.0,0.7782805429864253,gplearn_asb,hard_penalty,42
"Rsquare(Std(Var($factor, 6), 30), 5)",0.07482546331075234,0.07482546331075234,1,0.07482546331075234,0.07482546331075234,0.07482546331075234,False,False,True,,0.010353209362724936,3.0,0.7782805429864253,gplearn_asb,hard_penalty,42
"Rsquare(Std(Var($factor, 6), 30), 5)",0.07482546331075234,0.07482546331075234,1,0.07482546331075234,0.07482546331075234,0.07482546331075234,False,False,True,,0.010353209362724936,3.0,0.7782805429864253,gplearn_asb,hard_penalty,42
"Rsquare(Std(Var($factor, 6), 30), 5)",0.07482546331075234,0.07482546331075234,1,0.07482546331075234,0.07482546331075234,0.07482546331075234,False,False,True,,0.010353209362724936,3.0,0.7782805429864253,gplearn_asb,hard_penalty,42
"Rsquare(Std(Var($factor, 6), 30), 5)",0.07482546331075234,0.07482546331075234,1,0.07482546331075234,0.07482546331075234,0.07482546331075234,False,False,True,,0.010353209362724936,3.0,0.7782805429864253,gplearn_asb,hard_penalty,42
"Rsquare(Std(Var($factor, 6), 30), 5)",0.07482546331075234,0.07482546331075234,1,0.07482546331075234,0.07482546331075234,0.07482546331075234,False,False,True,,0.010353209362724936,3.0,0.7782805429864253,gplearn_asb,hard_penalty,42
"Div(Less(Power($high, $change), Less(Rsquare(Std(Var($factor, 6), 30), 5), Less($close, $change))), $volume)",0.07464422134665537,0.07464422134665537,1,0.07464422134665537,0.07464422134665537,0.07464422134665537,False,False,True,,0.010138791427718764,3.0,0.7749897161661867,gplearn_asb,hard_penalty,42
"Div(Less(Rsquare(Std(Var($factor, 6), 30), 5), Less($close, $change)), $volume)",0.07464422134665537,0.07464422134665537,1,0.07464422134665537,0.07464422134665537,0.07464422134665537,False,False,True,,0.010138791427718764,3.0,0.7749897161661867,gplearn_asb,hard_penalty,42
