formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed
"Div(Div(Less(Min(Power($high, $change), 64), Less($close, $change)), $volume), $volume)",23.31356856637144,0.04158332039111259,1,0.04158332039111259,23.31356856637144,23.31356856637144,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Div(Less($change, $vwap), $volume), $volume)",23.312981336943977,0.04158226486185669,1,0.04158226486185669,23.312981336943977,23.312981336943977,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Less(Div($vwap, $high), Div(Less($high, $change), $volume)), $volume)",23.312981336943977,0.04158226486185669,1,0.04158226486185669,23.312981336943977,23.312981336943977,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Div(Less($high, $change), $volume), $volume)",23.312981336943977,0.04158226486185669,1,0.04158226486185669,23.312981336943977,23.312981336943977,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Div(Less($high, $change), $volume), $volume)",23.312981336943977,0.04158226486185669,1,0.04158226486185669,23.312981336943977,23.312981336943977,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Div(Less($change, $vwap), $volume), $volume)",23.312981336943977,0.04158226486185669,1,0.04158226486185669,23.312981336943977,23.312981336943977,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Div(Less($high, $change), $volume), $volume)",23.312981336943977,0.04158226486185669,1,0.04158226486185669,23.312981336943977,23.312981336943977,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Div(Less($change, $vwap), $volume), $volume)",23.312981336943977,0.04158226486185669,1,0.04158226486185669,23.312981336943977,23.312981336943977,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Div(Less($high, $change), $volume), $volume)",23.312981336943977,0.04158226486185669,1,0.04158226486185669,23.312981336943977,23.312981336943977,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Div(Less($high, $change), $volume), $volume)",23.312981336943977,0.04158226486185669,1,0.04158226486185669,23.312981336943977,23.312981336943977,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
