formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Div(Div(Less(Min(Power($high, $change), 64), Less($close, $change)), $volume), $volume)",23.31356856637144,0.04158332039111259,1,0.04158332039111259,23.31356856637144,23.31356856637144,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,741,0,40,1.0
"Div(Div(Less(Min(EMA($volume, 64), 64), Less($close, $change)), $volume), $volume)",23.312981337888566,0.04158226485307579,1,0.04158226485307579,23.312981337888566,23.312981337888566,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,741,0,40,1.0
"Div(Div(Less($high, $change), $volume), $volume)",23.312981336943977,0.04158226486185669,1,0.04158226486185669,23.312981336943977,23.312981336943977,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,741,0,40,1.0
"Div(Less($high, $change), $volume)",22.515669998554294,0.04921153102213247,1,0.04921153102213247,22.515669998554294,22.515669998554294,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,741,0,40,1.0
"Div(Div(Div(Less($high, $change), $volume), $volume), $volume)",22.382085175527457,0.037211690307283746,1,0.037211690307283746,22.382085175527457,22.382085175527457,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,741,0,40,1.0
"Div(Div(Div(Less(Min(EMA($volume, 64), 64), Less($close, $change)), $volume), $volume), $volume)",22.38208511975194,0.03721169021510253,1,0.03721169021510253,22.38208511975194,22.38208511975194,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,741,0,40,1.0
"Div(Div(Div(Div(Less($change, $vwap), $volume), $volume), $volume), $volume)",21.5185924149537,0.03462605824490605,1,0.03462605824490605,21.5185924149537,21.5185924149537,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,741,0,40,1.0
"Div(Div(Less(Less($close, $change), Resi(EMA($change, 5), 64)), $volume), $volume)",21.305825448744653,0.03853207779156404,1,0.03853207779156404,21.305825448744653,21.305825448744653,False,False,True,,0.9595648829256095,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,741,0,40,1.0
"Div(Div(Less(Min(EMA($volume, 64), 64), Resi(EMA($change, 5), 64)), $volume), $volume)",20.780709210578546,0.03781659955396249,1,0.03781659955396249,20.780709210578546,20.780709210578546,False,False,True,,0.9595648829256095,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,741,0,40,1.0
"Div(Less(Min(EMA($volume, 64), 64), Div(Less(Min(Log($volume), 64), Resi(EMA($change, 5), 64)), $volume)), $volume)",20.780709210578546,0.03781659955396249,1,0.03781659955396249,20.780709210578546,20.780709210578546,False,False,True,,0.9595648829256095,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,741,0,40,1.0
