formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"EMA(Max(Var($amount, 12), 12), 5)",1.7998591105686512,-0.006211479652769702,-1,0.006211479652769702,1.7998591105686512,1.7998591105686512,False,False,True,,0.999965115622555,800.0,1.0,gplearn_asb,strict_penalty,0,fixed,882,0,40,0.9593593290522977
"Max(EMA(Std($amount, 5), 5), 12)",1.777062577208799,-0.012674249338966177,-1,0.012674249338966177,1.777062577208799,1.777062577208799,False,False,True,,0.9999640872391738,800.0,1.0,gplearn_asb,strict_penalty,0,fixed,882,0,40,0.9593593290522977
"Max(WMA(WMA(Std($amount, 5), 5), 5), 12)",1.7581095670800635,-0.012681936806576786,-1,0.012681936806576786,1.7581095670800635,1.7581095670800635,False,False,True,,0.9793156915172487,777.0,1.0,gplearn_asb,strict_penalty,0,fixed,882,0,40,0.9593593290522977
"Max(Max(EMA(Var($amount, 12), 5), 12), 12)",1.744996321162673,-0.0051442684322069,-1,0.0051442684322069,1.744996321162673,1.744996321162673,False,False,True,,0.999965115622555,800.0,1.0,gplearn_asb,strict_penalty,0,fixed,882,0,40,0.9593593290522977
"EMA(EMA(Var($amount, 12), 5), 5)",1.7287691062738684,-0.0060728260547690165,-1,0.0060728260547690165,1.7287691062738684,1.7287691062738684,False,False,True,,0.9999640872391738,800.0,1.0,gplearn_asb,strict_penalty,0,fixed,882,0,40,0.9593593290522977
"Max(Max(Max(WMA(Var($amount, 12), 5), 12), 12), 12)",1.7264873544399977,-0.004615571046584086,-1,0.004615571046584086,1.7264873544399977,1.7264873544399977,False,False,True,,0.9877858905800082,788.0,1.0,gplearn_asb,strict_penalty,0,fixed,882,0,40,0.9593593290522977
"Max(Max(WMA(Std($amount, 5), 5), 12), 12)",1.709267402271906,-0.01099300575846841,-1,0.01099300575846841,1.709267402271906,1.709267402271906,False,False,True,,0.982089241496681,781.0,1.0,gplearn_asb,strict_penalty,0,fixed,882,0,40,0.9593593290522977
"Max(Max(Mul($volume, $low), 12), 12)",1.7057858259984962,-0.011732629394462776,-1,0.011732629394462776,1.7057858259984962,1.7057858259984962,False,False,True,,0.9797234455279439,777.0,1.0,gplearn_asb,strict_penalty,0,fixed,882,0,40,0.9593593290522977
"Sub(Mean($amount, 30), Var($amount, 30))",1.6764971050399382,0.0061339229455299295,1,0.0061339229455299295,1.6764971050399382,1.6764971050399382,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,0,fixed,882,0,40,0.9593593290522977
"Std($amount, 30)",1.6763235185034364,-0.01235619100056126,-1,0.01235619100056126,1.6763235185034364,1.6763235185034364,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,0,fixed,882,0,40,0.9593593290522977
