formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Std(WMA(Mad($amount, 5), 12), 12)",1.955198224106652,-0.014361211152403157,-1,0.014361211152403157,1.955198224106652,1.955198224106652,False,False,True,,0.9805785463095151,778.0,1.0,gplearn_asb,strict_penalty,42,fixed,560,0,40,0.9889042758764388
"Std(WMA(Std($amount, 5), 12), 12)",1.8047911269995451,-0.01297242002610921,-1,0.01297242002610921,1.8047911269995451,1.8047911269995451,False,False,True,,0.979766123438269,777.0,1.0,gplearn_asb,strict_penalty,42,fixed,560,0,40,0.9889042758764388
"Greater(Mad(EMA($amount, 12), 12), Std(Abs(Std($amount, 5)), 30))",1.753204770719885,-0.012252650443093102,-1,0.012252650443093102,1.753204770719885,1.753204770719885,False,False,True,,0.9824753994563682,781.0,1.0,gplearn_asb,strict_penalty,42,fixed,560,0,40,0.9889042758764388
"Abs(Greater(IdxMin(WMA(Power($amount, $change), 5), 12), Std(Mad($amount, 5), 30)))",1.750547716409568,-0.011461376235785031,-1,0.011461376235785031,1.750547716409568,1.750547716409568,False,False,True,,0.9761837499294246,773.0,1.0,gplearn_asb,strict_penalty,42,fixed,560,0,40,0.9889042758764388
"Std(Mad($amount, 5), 12)",1.7335826820323375,-0.013060116373580274,-1,0.013060116373580274,1.7335826820323375,1.7335826820323375,False,False,True,,0.9754654241375695,772.0,1.0,gplearn_asb,strict_penalty,42,fixed,560,0,40,0.9889042758764388
"Std(Abs(EMA($amount, 12)), 12)",1.7276687749264994,-0.016700483224280374,-1,0.016700483224280374,1.7276687749264994,1.7276687749264994,False,False,True,,0.9999640872391738,800.0,1.0,gplearn_asb,strict_penalty,42,fixed,560,0,40,0.9889042758764388
"Std(WMA(Abs(Greater($factor, $amount)), 12), 12)",1.7235620260678304,-0.015876655444912017,-1,0.015876655444912017,1.7235620260678304,1.7235620260678304,False,False,True,,0.9789130794234601,776.0,1.0,gplearn_asb,strict_penalty,42,fixed,560,0,40,0.9889042758764388
"Std(Std(Abs(EMA($amount, 12)), 12), 30)",1.7213217384817485,-0.011156792870864674,-1,0.011156792870864674,1.7213217384817485,1.7213217384817485,False,False,True,,0.9999994858083092,800.0,1.0,gplearn_asb,strict_penalty,42,fixed,560,0,40,0.9889042758764388
"Greater(Std(EMA($amount, 5), 30), Std(Abs(Greater($factor, $amount)), 30))",1.7200826625743404,-0.012549930169597753,-1,0.012549930169597753,1.7200826625743404,1.7200826625743404,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,42,fixed,560,0,40,0.9889042758764388
"Log(Greater(Mad(EMA($amount, 12), 12), Std(Abs(Greater($factor, $amount)), 30)))",1.7114070494804066,-0.017170902442879804,-1,0.017170902442879804,1.7114070494804066,1.7114070494804066,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,42,fixed,560,0,40,0.9889042758764388
