formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed
"Greater(Min($change, 64), Mean(Log(EMA(Min($change, 64), 5)), 12))",0.22397058517926588,0.22397058517926588,1,0.22397058517926588,0.22397058517926588,0.22397058517926588,False,False,True,,0.001923591114767585,1.0,0.5586178527354998,gplearn_asb,off,2
"Greater(Log($amount), Max(Mean(Log(EMA(Min($change, 64), 5)), 12), 30))",0.10336995582217319,-0.10336995582217319,-1,0.10336995582217319,0.10336995582217319,0.10336995582217319,False,False,True,,0.005174825174825174,3.0,0.7309749074454956,gplearn_asb,off,2
"Greater(Log($amount), Max(Mean(Log(EMA(Min($change, 64), 5)), 12), 30))",0.10336995582217319,-0.10336995582217319,-1,0.10336995582217319,0.10336995582217319,0.10336995582217319,False,False,True,,0.005174825174825174,3.0,0.7309749074454956,gplearn_asb,off,2
"Greater(Log($amount), Max(Mean(Log(EMA(Min($change, 64), 5)), 12), 30))",0.10336995582217319,-0.10336995582217319,-1,0.10336995582217319,0.10336995582217319,0.10336995582217319,False,False,True,,0.005174825174825174,3.0,0.7309749074454956,gplearn_asb,off,2
"Greater(Log($amount), Max(Mean(Log(EMA(Min($change, 64), 5)), 12), 30))",0.10336995582217319,-0.10336995582217319,-1,0.10336995582217319,0.10336995582217319,0.10336995582217319,False,False,True,,0.005174825174825174,3.0,0.7309749074454956,gplearn_asb,off,2
"Greater(Log($amount), Max(Mean(Log(EMA(Min($change, 64), 5)), 12), 30))",0.10336995582217319,-0.10336995582217319,-1,0.10336995582217319,0.10336995582217319,0.10336995582217319,False,False,True,,0.005174825174825174,3.0,0.7309749074454956,gplearn_asb,off,2
"Greater(Log($amount), Max(Mean(Log(EMA(Min($change, 64), 5)), 12), 30))",0.10336995582217319,-0.10336995582217319,-1,0.10336995582217319,0.10336995582217319,0.10336995582217319,False,False,True,,0.005174825174825174,3.0,0.7309749074454956,gplearn_asb,off,2
"Greater(Log($amount), Max(Mean(Log(EMA(Min($change, 64), 5)), 12), 30))",0.10336995582217319,-0.10336995582217319,-1,0.10336995582217319,0.10336995582217319,0.10336995582217319,False,False,True,,0.005174825174825174,3.0,0.7309749074454956,gplearn_asb,off,2
"Greater(Min($change, 64), Max(Log(EMA(Min($change, 64), 5)), 30))",0.1032490262961823,0.1032490262961823,1,0.1032490262961823,0.1032490262961823,0.1032490262961823,False,False,True,,0.004133072809543397,2.0,0.7030028794734677,gplearn_asb,off,2
"Greater(Min($change, 64), Max(Log(EMA(Min($change, 64), 5)), 30))",0.1032490262961823,0.1032490262961823,1,0.1032490262961823,0.1032490262961823,0.1032490262961823,False,False,True,,0.004133072809543397,2.0,0.7030028794734677,gplearn_asb,off,2
