formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Mul(Mul(Mul(Mul(Mul(EMA($change, 12), Abs($change)), Abs($change)), Abs($change)), Abs($change)), Abs($change))",0.06282074514006414,0.06282074514006414,1,0.06282074514006414,0.06282074514006414,0.06282074514006414,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,1,fixed,882,0,40,0.5771132403784096
"Resi($change, 64)",0.027976557780551276,0.027976557780551276,1,0.027976557780551276,0.027976557780551276,0.027976557780551276,False,False,True,,0.9593730894249924,759.0,1.0,gplearn_asb,strict_penalty,1,fixed,882,0,40,0.5771132403784096
"Mul(WMA($change, 12), EMA($factor, 5))",0.021309747666316305,0.021309747666316305,1,0.021309747666316305,0.021309747666316305,0.021309747666316305,False,False,True,,0.9742952045071422,771.0,1.0,gplearn_asb,strict_penalty,1,fixed,882,0,40,0.5771132403784096
"Mul(Skew($close, 12), Abs($change))",0.014839043380693496,0.014839043380693496,1,0.014839043380693496,0.014839043380693496,0.014839043380693496,False,False,True,,0.9582490663892049,758.0,1.0,gplearn_asb,strict_penalty,1,fixed,882,0,40,0.5771132403784096
"Delta($vwap, 5)",0.011956930994985258,-0.011956930994985258,-1,0.011956930994985258,0.011956930994985258,0.011956930994985258,False,False,True,,0.9489998669150917,752.0,0.9995886466474702,gplearn_asb,strict_penalty,1,fixed,882,0,40,0.5771132403784096
"Mul(Mul(EMA($change, 12), Abs($change)), Mul(Mul(Mul(Mul(Resi($change, 64), Abs($change)), Abs($change)), Abs($change)), Abs($change)))",0.010894599147524822,0.010894599147524822,1,0.010894599147524822,0.010894599147524822,0.010894599147524822,False,False,True,,0.9593730894249924,759.0,1.0,gplearn_asb,strict_penalty,1,fixed,882,0,40,0.5771132403784096
"Mul(Mul(EMA($change, 12), Abs($change)), Greater(Add($amount, $vwap), Delta($adjclose, 64)))",0.010786570785650186,0.010786570785650186,1,0.010786570785650186,0.010786570785650186,0.010786570785650186,False,False,True,,0.9292230664375994,733.0,0.9995886466474702,gplearn_asb,strict_penalty,1,fixed,882,0,40,0.5771132403784096
"Mul(EMA($change, 12), Delta($volume, 64))",0.00741286687956146,-0.00741286687956146,-1,0.00741286687956146,0.00741286687956146,0.00741286687956146,False,False,True,,0.9292230664375994,733.0,0.9995886466474702,gplearn_asb,strict_penalty,1,fixed,882,0,40,0.5771132403784096
"Mul(WMA($change, 12), Mean($change, 30))",0.006406613608953854,-0.006406613608953854,-1,0.006406613608953854,0.006406613608953854,0.006406613608953854,False,False,True,,0.9742952045071422,771.0,1.0,gplearn_asb,strict_penalty,1,fixed,882,0,40,0.5771132403784096
"Mul(Div($amount, $factor), Abs($change))",0.006145329121230378,-0.006145329121230378,-1,0.006145329121230378,0.006145329121230378,0.006145329121230378,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,1,fixed,882,0,40,0.5771132403784096
