formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed
"Div(Power(Less(Min(EMA($volume, 64), 64), Resi(EMA($change, 5), 64)), Min(Div($vwap, $high), 5)), $volume)",0.06767865912662889,0.06767865912662889,1,0.06767865912662889,0.06767865912662889,0.06767865912662889,False,False,True,,0.4881930295771125,306.0,1.0,gplearn_asb,strict_penalty,42
"Div(Less(Min(EMA($volume, 64), 64), Less($high, $change)), $volume)",0.04921153102213247,0.04921153102213247,1,0.04921153102213247,0.04921153102213247,0.04921153102213247,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Less(Less($high, $change), Div($vwap, $high)), $volume)",0.04921153102213247,0.04921153102213247,1,0.04921153102213247,0.04921153102213247,0.04921153102213247,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Less($high, $change), $volume)",0.04921153102213247,0.04921153102213247,1,0.04921153102213247,0.04921153102213247,0.04921153102213247,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Less($change, $vwap), $volume)",0.04921153102213247,0.04921153102213247,1,0.04921153102213247,0.04921153102213247,0.04921153102213247,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Less(Div($vwap, $high), Less($high, $change)), $volume)",0.04921153102213247,0.04921153102213247,1,0.04921153102213247,0.04921153102213247,0.04921153102213247,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Less(Less(Less($high, $change), Div($vwap, $high)), Less($close, $change)), $volume)",0.04921153102213247,0.04921153102213247,1,0.04921153102213247,0.04921153102213247,0.04921153102213247,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Less($close, $change), $volume)",0.04921153102213247,0.04921153102213247,1,0.04921153102213247,0.04921153102213247,0.04921153102213247,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Less(Less(Min(EMA($volume, 64), 64), Less($close, $change)), Less(Min(EMA($volume, 64), 64), Less($close, $change))), $volume)",0.04921153102213247,0.04921153102213247,1,0.04921153102213247,0.04921153102213247,0.04921153102213247,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
"Div(Less(Less($close, $change), Power($high, $change)), $volume)",0.04921153102213247,0.04921153102213247,1,0.04921153102213247,0.04921153102213247,0.04921153102213247,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42
