formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Div(Power(Less(Min(EMA($volume, 64), 64), Resi(EMA($change, 5), 64)), Min(Div($vwap, $high), 5)), $volume)",0.06767865912662889,0.06767865912662889,1,0.06767865912662889,0.06767865912662889,0.06767865912662889,False,False,True,,0.4881930295771125,306.0,1.0,gplearn_asb,strict_penalty,42,fixed,717,0,40,0.9999996578693946
"Div(Power(Less(Min(EMA($volume, 64), 64), Div(Less($change, $vwap), $volume)), Min(Div($vwap, $high), 5)), $volume)",0.06297054762767058,0.06297054762767058,1,0.06297054762767058,0.06297054762767058,0.06297054762767058,False,False,True,,0.5003239306829272,322.0,1.0,gplearn_asb,strict_penalty,42,fixed,717,0,40,0.9999996578693946
"Power(Less(Min(Div($vwap, $high), 64), Less(Less($high, $change), Resi(EMA($change, 5), 64))), Min(Div($vwap, $high), 5))",0.059176434080435734,0.059176434080435734,1,0.059176434080435734,0.059176434080435734,0.059176434080435734,False,False,True,,0.3608208919108573,196.0,1.0,gplearn_asb,strict_penalty,42,fixed,717,0,40,0.9999996578693946
"Div(Power(WMA($change, 30), Min(Div($vwap, $high), 5)), $volume)",0.05884946482898036,0.05884946482898036,1,0.05884946482898036,0.05884946482898036,0.05884946482898036,False,False,True,,0.47492333502714124,295.0,1.0,gplearn_asb,strict_penalty,42,fixed,717,0,40,0.9999996578693946
"Div(Less($change, $vwap), $volume)",0.04921153102213247,0.04921153102213247,1,0.04921153102213247,0.04921153102213247,0.04921153102213247,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,717,0,40,0.9999996578693946
"Div(Less(Less($high, $change), Resi(EMA($change, 5), 64)), $volume)",0.044702286930156716,0.044702286930156716,1,0.044702286930156716,0.044702286930156716,0.044702286930156716,False,False,True,,0.9595648829256095,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,717,0,40,0.9999996578693946
"Div(Less(Less($close, $change), Less(Min(EMA($volume, 64), 64), Resi(EMA($change, 5), 64))), $volume)",0.0447013007836652,0.0447013007836652,1,0.0447013007836652,0.0447013007836652,0.0447013007836652,False,False,True,,0.9595648829256095,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,717,0,40,0.9999996578693946
"Power(Less(Min(EMA($volume, 64), 64), Less($close, $change)), Min(Div($vwap, $high), 5))",0.04404585917754459,0.04404585917754459,1,0.04404585917754459,0.04404585917754459,0.04404585917754459,False,False,True,,0.5003239306829272,322.0,1.0,gplearn_asb,strict_penalty,42,fixed,717,0,40,0.9999996578693946
"Div(Less(Min(Div($vwap, $high), 64), EMA($change, 5)), $volume)",0.043540911874308134,0.043540911874308134,1,0.043540911874308134,0.043540911874308134,0.043540911874308134,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,717,0,40,0.9999996578693946
"Div(EMA($change, 5), $volume)",0.043530752865531104,0.043530752865531104,1,0.043530752865531104,0.043530752865531104,0.043530752865531104,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,42,fixed,717,0,40,0.9999996578693946
