formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Sub(Sub(Max(Max(Var(Max(Max(Max(Std($volume, 64), 30), 30), 30), 64), 64), 30), Std(Med(Std(Med(Kurt($volume, 5), 12), 30), 64), 30)), Std($volume, 64))",0.27595177912444735,-0.0032751418801109855,-1,0.0032751418801109855,0.27595177912444735,0.27595177912444735,False,False,True,,0.9898775659824047,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,130,0,40,0.9999966996458775
"Sub(Sub(Max(Sub(Max(Var(Max(Max(Std($volume, 64), 64), 30), 64), 64), Min($factor, 5)), 30), Std(Med(Std(Min($factor, 5), 30), 64), 30)), Sub(Max(Std($volume, 64), 30), Std(Max(Std($volume, 64), 30), 30)))",0.27552320559458066,-0.003238668592325318,-1,0.003238668592325318,0.27552320559458066,0.27552320559458066,False,False,True,,0.9947888563049853,797.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,130,0,40,0.9999966996458775
"Sub(Sub(Max(Sub(Max(Var(Max(Max(Std($volume, 64), 64), 30), 64), 64), Min($factor, 5)), 30), Max(Std($volume, 64), 30)), Std($volume, 64))",0.27519978654269234,-0.003256154949308329,-1,0.003256154949308329,0.27519978654269234,0.27519978654269234,False,False,True,,0.9899714076246333,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,130,0,40,0.9999966996458775
"Sub(Max(Max(Var(Max(Max(Max(Std($volume, 64), 30), 30), 30), 64), 64), 30), Std(Std($volume, 64), 30))",0.2750773571564521,-0.0032306664097134417,-1,0.0032306664097134417,0.2750773571564521,0.2750773571564521,False,False,True,,0.994700879765396,797.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,130,0,40,0.9999966996458775
"Sub(Sub(Max(Max(Var(Max(Max(Max(Max(Std($volume, 64), 30), 30), 30), 30), 64), 64), 30), Std(Med(Std(Min($factor, 5), 30), 64), 30)), Std($volume, 64))",0.2719619993471973,-0.00284618579074311,-1,0.00284618579074311,0.2719619993471973,0.2719619993471973,False,False,True,,0.9900205278592374,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,130,0,40,0.9999966996458775
"Sub(Max(Max(Var(Max(Max(Max(Max(Std($volume, 64), 30), 30), 30), 30), 64), 64), 30), Min($factor, 5))",0.27000483118946655,-0.0028160304791717316,-1,0.0028160304791717316,0.27000483118946655,0.27000483118946655,False,False,True,,0.9997199413489735,800.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,130,0,40,0.9999966996458775
"Sub(Max(Sub(Max(Var(Max(Max(Max(Std($volume, 64), 30), 30), 30), 64), 64), Std(Max(Std($volume, 64), 64), 30)), 64), Sub(Max(Max(Std($volume, 64), 30), 30), Std(Max(Sub(Max(Std($volume, 64), 30), Std(Max(Max(Std($volume, 64), 30), 30), 30)), 30), 30)))",0.26890149118631496,-0.0034588747199608776,-1,0.0034588747199608776,0.26890149118631496,0.26890149118631496,False,False,True,,0.9975857771260996,799.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,130,0,40,0.9999966996458775
"Sub(Max(Sub(Max(Var(Max(Max(Max(Std($volume, 64), 30), 30), 30), 64), 64), Std($volume, 64)), 64), Sub(Max(Std($volume, 64), 30), Std(Max(Sub(Max(Std($volume, 64), 30), Std(Max(Std($volume, 64), 30), 30)), 30), 30)))",0.26802643781788865,-0.003440347690316693,-1,0.003440347690316693,0.26802643781788865,0.26802643781788865,False,False,True,,0.9949068914956012,797.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,130,0,40,0.9999966996458775
"Sub(Max(Sub(Max(Var(Max(Max(Max(Std($volume, 64), 30), 30), 30), 64), 64), Std(Max(Var(Max(Max(Std($volume, 64), 64), 30), 64), 64), 30)), 64), Sub(Max(Std($volume, 64), 30), Std(Max(Std($volume, 64), 30), 30)))",0.26743679224116185,-0.0034954913968337268,-1,0.0034954913968337268,0.26743679224116185,0.26743679224116185,False,False,True,,0.994891495601173,797.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,130,0,40,0.9999966996458775
"Sub(Max(Sub(Max(Var(Max(Max(Max(Std($volume, 64), 30), 30), 30), 64), 64), Std(Max(Sub(Max(Sub(Max(Var(Max(Max(Max(Std($volume, 64), 30), 30), 30), 64), 64), Std(Max(Var(Max(Max(Std($volume, 64), 64), 30), 64), 64), 30)), 64), Sub(Max(Std($volume, 64), 30), Std(Max(Std($volume, 64), 30), 30))), 30), 30)), 64), Sub(Max(Std($volume, 64), 30), Std(Max(Std($volume, 64), 30), 30)))",0.2673994889754737,-0.0034116256821421402,-1,0.0034116256821421402,0.2673994889754737,0.2673994889754737,False,False,True,,0.9948856304985337,797.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,130,0,40,0.9999966996458775
