formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Sub(Max(Sub(Max(Max(Sub(Max(Std($volume, 30), 64), Abs($close)), 64), 64), Med(Log($change), 12)), 64), Med(Log($change), 12))",0.2712259532562002,-0.007916129825134744,-1,0.007916129825134744,0.2712259532562002,0.2712259532562002,False,False,True,,0.971241202346041,775.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,63,0,40,0.9996913535564474
"Sub(Sub(Max(Max(Sub(Max(Sub(Max(Std($volume, 30), 64), Mad(Mean(Abs($close), 12), 12)), 64), Mad(Mean(Abs($close), 12), 12)), 64), 64), Med(Log($change), 64)), Med(Log($change), 64))",0.26932511135921705,-0.00779746107018645,-1,0.00779746107018645,0.26932511135921705,0.26932511135921705,False,False,True,,0.9895901759530792,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,63,0,40,0.9996913535564474
"Sub(Max(Max(Sub(Max(Sub(Max(Std($volume, 30), 64), Mad(Mean(Abs($close), 12), 12)), 64), Abs($close)), 64), 64), Med(Log($change), 12))",0.2684658918105222,-0.007932045869195992,-1,0.007932045869195992,0.2684658918105222,0.2684658918105222,False,False,True,,0.971241202346041,775.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,63,0,40,0.9996913535564474
"Sub(Max(Max(Max(Sub(Max(Std($volume, 30), 64), Mad(Log($change), 12)), 64), 64), 64), Med(Log($change), 64))",0.2648563540390159,-0.007734406625057321,-1,0.007734406625057321,0.2648563540390159,0.2648563540390159,False,False,True,,0.9893804985337243,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,63,0,40,0.9996913535564474
"Sub(Max(Sub(Max(Sub(Max(Std($volume, 30), 64), Mad(Mean(Abs($close), 12), 12)), 64), Abs($close)), 64), Med(Log($change), 64))",0.2619173865926812,-0.007261801308336704,-1,0.007261801308336704,0.2619173865926812,0.2619173865926812,False,False,True,,0.9895608504398827,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,63,0,40,0.9996913535564474
"Sub(Max(Max(Max(Sub(Max(Std($volume, 30), 64), Ref($high, 5)), 64), 64), 64), Med(Log($change), 64))",0.2571796059766631,-0.007775677620903495,-1,0.007775677620903495,0.2571796059766631,0.2571796059766631,False,False,True,,0.9895791788856305,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,63,0,40,0.9996913535564474
"Sub(Max(Max(Max(Max(Std($volume, 30), 64), 64), 64), 64), Abs($close))",0.25715341139126524,-0.00757591275304792,-1,0.00757591275304792,0.25715341139126524,0.25715341139126524,False,False,True,,0.9631129032258064,768.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,63,0,40,0.9996913535564474
"Sub(Max(Max(Max(Sub(Max(Std($volume, 30), 64), Mad(Max(Max(Sub(Max(Std($volume, 30), 64), Mad(Abs($close), 12)), 64), 64), 12)), 64), 64), 64), Med(Log($change), 64))",0.2569184056053541,-0.00775323107072456,-1,0.00775323107072456,0.2569184056053541,0.2569184056053541,False,False,True,,0.9895953079178885,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,63,0,40,0.9996913535564474
"Sub(Max(Max(Sub(Max(Sub(Std($volume, 30), Mad(Mean(Abs($close), 12), 12)), 64), Abs($close)), 64), 64), Med(Log($change), 12))",0.2564100259560578,-0.0073632852178550975,-1,0.0073632852178550975,0.2564100259560578,0.2564100259560578,False,False,True,,0.971241202346041,775.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,63,0,40,0.9996913535564474
"Sub(Max(Max(Sub(Max(Std($volume, 30), 64), Abs($close)), 64), 64), Med(Log($change), 64))",0.25637118357028854,-0.00728360411402967,-1,0.00728360411402967,0.25637118357028854,0.25637118357028854,False,False,True,,0.9895821114369501,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,63,0,40,0.9996913535564474
