formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Max(Std($volume, 64), 30)",0.22405915911387372,-0.006796336438915916,-1,0.006796336438915916,0.22405915911387372,0.22405915911387372,False,False,True,,0.9949450146627565,797.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,489,0,1,0.9693037292184763
"Max(Var($volume, 64), 30)",0.22405915911387372,-0.003758944583137744,-1,0.003758944583137744,0.22405915911387372,0.22405915911387372,False,False,True,,0.9949450146627565,797.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,489,0,1,0.9693037292184763
"Max(Max(Var($volume, 64), 30), 30)",0.19844779866042428,-0.004280956840409428,-1,0.004280956840409428,0.19844779866042428,0.19844779866042428,False,False,True,,0.9976224340175953,799.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,489,0,1,0.9693037292184763
"Std($volume, 64)",0.19622569464627335,-0.007375606398155625,-1,0.007375606398155625,0.19622569464627335,0.19622569464627335,False,False,True,,0.9900212609970674,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,489,0,1,0.9693037292184763
"Var($volume, 64)",0.19622569464627335,-0.004213219698992872,-1,0.004213219698992872,0.19622569464627335,0.19622569464627335,False,False,True,,0.9900212609970674,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,489,0,1,0.9693037292184763
"Max(EMA($volume, 64), 30)",0.16469836714946012,-0.006247787001054458,-1,0.006247787001054458,0.16469836714946012,0.16469836714946012,False,False,True,,0.9999897360703813,800.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,489,0,1,0.9693037292184763
"Max(Min($adjclose, 64), 30)",0.09718131389306095,0.0021332277641975365,1,0.0021332277641975365,0.09718131389306095,0.09718131389306095,False,False,True,,0.9951781524926686,797.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,489,0,1,0.9693037292184763
"Max(Ref($high, 5), 30)",0.016322890208888493,0.003039326629012002,1,0.003039326629012002,0.016322890208888493,0.016322890208888493,False,False,True,,0.980840909090909,784.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,489,0,1,0.9693037292184763
"Slope($open, 64)",-0.021745928523652723,0.009179747477356993,1,0.009179747477356993,-0.021745928523652723,-0.021745928523652723,False,False,True,,0.9900212609970674,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,489,0,1,0.9693037292184763
"Max(Var($change, 64), 30)",-0.023933279850005044,0.0011022744011977541,1,0.0011022744011977541,-0.023933279850005044,-0.023933279850005044,False,False,True,,0.9949442815249268,797.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,489,0,1,0.9693037292184763
