formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Max(Max(Max(Max(Var($volume, 64), 5), 5), 5), 5)",0.240004567693379,-0.003921930227473789,-1,0.003921930227473789,0.240004567693379,0.240004567693379,False,False,True,,0.993098973607038,796.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,884,0,40,0.9924326761988496
"Max(Max(Max(Std($volume, 64), 5), 5), 5)",0.2378145202074688,-0.0073429898989881845,-1,0.0073429898989881845,0.2378145202074688,0.2378145202074688,False,False,True,,0.9924354838709677,795.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,884,0,40,0.9924326761988496
"Max(Max(Var(Abs(Power(Add($volume, $vwap), Div($adjclose, $adjclose))), 64), 5), 5)",0.22735574133515557,-0.004107936075723928,-1,0.004107936075723928,0.22735574133515557,0.22735574133515557,False,False,True,,0.9917067448680351,795.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,884,0,40,0.9924326761988496
"Sub(Max(Var($volume, 64), 30), Std(Med(Max(Std($volume, 64), 30), 64), 30))",0.22507162802115263,-0.0037766047729130272,-1,0.0037766047729130272,0.22507162802115263,0.22507162802115263,False,False,True,,0.9949354838709679,797.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,884,0,40,0.9924326761988496
"Sub(Max(Std($volume, 64), 30), $factor)",0.22406211039320126,-0.006796335092763948,-1,0.006796335092763948,0.22406211039320126,0.22406211039320126,False,False,True,,0.9947038123167155,797.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,884,0,40,0.9924326761988496
"Max(WMA(Max(Var($volume, 64), 5), 12), 5)",0.21502521629642743,-0.003971569832545937,-1,0.003971569832545937,0.21502521629642743,0.21502521629642743,False,False,True,,0.9935608504398827,796.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,884,0,40,0.9924326761988496
"Max(Less(Std(Div($amount, $vwap), 64), $volume), 5)",0.21024942876977276,-0.007326845907985689,-1,0.007326845907985689,0.21024942876977276,0.21024942876977276,False,False,True,,0.9679523460410557,772.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,884,0,40,0.9924326761988496
"Max(WMA(Var(Abs(Power(Add($volume, $vwap), Div($adjclose, $adjclose))), 64), 12), 30)",0.20154757771863938,-0.0035933568306241556,-1,0.0035933568306241556,0.20154757771863938,0.20154757771863938,False,False,True,,0.9961832844574781,798.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,884,0,40,0.9924326761988496
"Max(Max(Max(Max(Std($volume, 64), 30), 5), 30), 5)",0.20015379840887856,-0.006925779856395666,-1,0.006925779856395666,0.20015379840887856,0.20015379840887856,False,False,True,,0.9980263929618768,799.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,884,0,40,0.9924326761988496
"Max(Max(Var(Abs(Power(Add($volume, $vwap), Div($adjclose, $adjclose))), 64), 30), 30)",0.1984674424075928,-0.004280956832499698,-1,0.004280956832499698,0.1984674424075928,0.1984674424075928,False,False,True,,0.9976224340175953,799.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,884,0,40,0.9924326761988496
