generation,L_p95,L_p99,L_max,D_p95,D_p99,D_max,exceed_rate
0,12.0,17.019999999999982,21,5.0,5.0,5,0.0
1,12.549999999999983,16.019999999999982,17,5.0,6.509999999999991,7,0.0
2,5.0,9.0,11,3.549999999999983,4.0,6,0.0
3,7.0,9.0,11,4.0,5.0,6,0.0
4,9.0,9.0,11,5.0,5.0,6,0.0
5,7.0,7.0,12,4.0,4.0,5,0.0
6,7.0,7.0,7,4.0,4.0,4,0.0
7,7.0,7.0,7,4.0,4.0,4,0.0
8,7.0,7.0,7,4.0,4.0,4,0.0
9,7.0,7.0,7,4.0,4.0,4,0.0
10,7.0,7.0,7,4.0,4.0,4,0.0
11,7.0,7.0,7,4.0,4.0,4,0.0
12,7.0,7.0,13,4.0,4.0,5,0.0
13,7.0,7.0,7,4.0,4.0,4,0.0
14,7.0,7.0,7,4.0,4.0,4,0.0
15,7.0,7.0,8,4.0,4.0,5,0.0
16,7.0,7.0,7,4.0,4.0,4,0.0
17,7.0,7.0,7,4.0,4.0,4,0.0
18,7.0,7.0,8,4.0,4.0,5,0.0
19,7.0,7.0,11,4.0,4.0,5,0.0
