method,formula,csv_fitness,n_grid_cells,n_finite_qlib,n_finite_asb,nan_pattern_xor,max_abs_diff,ic_days,refit_qlib_absIC,refit_asb_absIC,refit_qlib_signedIC,fitness_abs_err
gp_smoke,"Min(Abs($change), 12)",0.0823331122124648,6715687,6428669,6428669,0,0.0,2431,0.08233311221246487,0.08233311221246487,0.08233311221246487,6.938893903907228e-17
gp_smoke,"Power(Resi($high, 30), Slope($close, 12))",0.0498030191927215,6715687,3246781,3246781,0,0.0,2431,0.06472037477560652,0.04980301919272158,-0.06472037477560652,0.014917355582885018
gp_smoke,"Abs(Power(Resi($high, 30), Slope($close, 12)))",0.0498030191927215,6715687,3246781,3246781,0,0.0,2431,0.06472037477560652,0.04980301919272158,-0.06472037477560652,0.014917355582885018
gp_smoke,Log($volume),0.0481956942413237,6715687,6317660,6317660,0,0.0,2431,0.04819569424132379,0.04819569424132379,-0.04819569424132379,9.020562075079397e-17
random,"WMA(Rsquare(Div(Greater($close, $change), EMA($volume, 30)), 12), 30)",0.1456407641689347,6715687,346265,303792,42473,0.4354838728904724,2431,0.14564076416893476,0.2066273295174983,0.14564076416893476,5.551115123125783e-17
random,"Mul(Med($change, 30), Greater($low, $open))",0.037136231081614,6715687,6315550,6315550,0,0.0,2431,0.037136231081614055,0.037136231081614055,0.037136231081614055,5.551115123125783e-17
random,"Slope($vwap, 64)",0.036648725887289,6715687,6596376,6596376,0,0.0,2431,0.036648725887289096,0.036648725887289096,0.036648725887289096,9.71445146547012e-17
random,"Max(EMA($change, 5), 12)",0.035372476627568,6715687,6698004,6698004,0,0.0,2431,0.035372476627568025,0.035372476627568025,0.035372476627568025,2.7755575615628914e-17
random,"Less(Slope($open, 30), IdxMax($low, 12))",0.0348911688073614,6715687,6424986,6424986,0,0.0,2431,0.03489116880736141,0.03489116880736141,0.03489116880736141,6.938893903907228e-18
random,"Slope($open, 30)",0.0347778623451831,6715687,6496809,6496809,0,0.0,2431,0.034777862345183194,0.034777862345183194,0.034777862345183194,9.71445146547012e-17
random,"Div($close, $volume)",0.0341450133189323,6715687,6317660,6317660,0,0.0,2431,0.034145013318932334,0.034145013318932334,0.034145013318932334,3.469446951953614e-17
random,"Std(Log(Sub(Less($amount, $high), Slope($vwap, 64))), 5)",0.0333383165068752,6715687,6355430,6355430,0,0.0,2431,0.033338316506875285,0.033338316506875285,0.033338316506875285,8.326672684688674e-17
random,"Mul(Slope(Log(Add($factor, $close)), 30), $close)",0.0331505122558267,6715687,6311971,6311971,0,0.0,2431,0.03315051225582678,0.03315051225582678,0.03315051225582678,8.326672684688674e-17
random,"Max(Mad(IdxMin(Var($open, 64), 12), 30), 64)",0.0329019745552923,6715687,6681133,6681133,0,0.0,2431,0.03290197455529235,0.03290197455529235,-0.03290197455529235,4.85722573273506e-17
gp_main,"WMA(Rsquare(Div(Div(Mul(WMA(Slope($vwap, 64), 64), $close), EMA($volume, 30)), EMA($volume, 30)), 12), 30)",0.5652173913043478,6715687,57,57,0,0.0,23,0.5652173913043478,,0.5652173913043478,0.0
gp_main,"WMA(Rsquare(Div(WMA(Rsquare(Div(Div(Power($volume, $open), Mean(Sign($change), 12)), Mean(Sign($change), 12)), 64), 30), EMA($volume, 30)), 12), 30)",0.4853059336241708,6715687,43458,43528,70,0.0,1261,0.4853059336241708,0.35903250715957885,0.4853059336241708,0.0
gp_main,"WMA(Rsquare(Div(WMA(Rsquare(Div(Power($volume, $open), Mean(Sign($change), 12)), 64), 30), EMA($volume, 30)), 12), 30)",0.485305606119721,6715687,43458,43528,70,0.0,1261,0.48530560611972107,0.3590323420078147,0.48530560611972107,5.551115123125783e-17
gp_main,"WMA(Rsquare(Div(WMA(Rsquare(Div(Power($volume, $open), Abs($change)), 64), 30), EMA($volume, 30)), 12), 30)",0.4853045695317813,6715687,43458,43528,70,0.0,1261,0.48530456953178136,,0.48530456953178136,5.551115123125783e-17
gp_csi800,"Rsquare(Std(Var($factor, 6), 30), 5)",0.0748254633180279,1666542,16906,16906,0,0.0,1456,0.07482546331075234,0.07482546331075234,0.07482546331075234,7.275569036124807e-12
gp_csi800,"Div(Less(Power($high, $change), Less(Rsquare(Std(Var($factor, 6), 30), 5), Less($close, $change))), $volume)",0.0746442213466553,1666542,16529,16529,0,0.0,1462,0.07464422134665537,0.07464422134665537,0.07464422134665537,6.938893903907228e-17
gp_csi800,"Div(Less(Rsquare(Std(Var($factor, 6), 30), 5), Less($close, $change)), $volume)",0.0746442213466553,1666542,16529,16529,0,0.0,1462,0.07464422134665537,0.07464422134665537,0.07464422134665537,6.938893903907228e-17
